"","","comment"
"","","这就是所谓的加绒加厚的衣服吗？表面一层硬的要命，很薄的一层绒，还好意思说加厚，根本不能穿，也不知道哪里买的那么多评价，是淘宝十几年来买的最差的一件衣服，真的很差很差!!!千万别上当!"
"","","衣服面料好。！穿着特别舒服。真的好便宜。"
"","","，买了两次，两次给我发过来带脏污，第一次就没给他们退货，送朋友了！第二次发来又是这样？搞什么啊"
"","","衣服质量不好。穿着也不舒服。"
"","","不错很好穿   面料很柔软   上身效果好"
"","","质量很好，很厚实，穿着很舒服。自己选错了型号客服很好的给解决了。没有存在什么问题。下次还会来的。"
"","","厚的现在穿，薄得留着开春穿，快递很是快啊！以为明天到，没想到下雨天今天就送到了，辛苦啦！按价钱算衣服还可以啦！"
"","","衣服已收到，和描述的一样，颜色和款式都好看，穿着挺合身的，摸上去也很柔软也暖和，满意。"
"","","宝贝已收到，刚穿上试了下、很暖和，质量很好，老板态度好，发货速度超快，昨天下午买的，今天下午就到了，物超所值、物美价廉，有需要还会再来"
"","","差差差差差，买回来因为有事，所以忘记拆开了。现在一拆开衣服袖子个长一个短。反正退也退不了了，还总是发信息让我给五星好评，我也是无语了。那现在给你了"
"","","一个字 差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差"
"","","衣服质量很好，尺码标准，穿着舒服，嗯，超值很实惠"
"","","两件都不错，就是线头有点长，胶味重，其他都还好"
"","","宝贝是非常好看。面料不是纯棉，估计穿一段时间会起球。刚开始买的码数给发错了，买的是L发成了XXL也懒得换，给别人穿了，后来又过来买了一个L的，样子很不错。这个价格也算是很值了。起静电的话自己多用金纺泡一泡也就解决了。"
"","","卫衣收到了，穿了一段时间来评价的，面料不错，不粘毛，尺码标准，洗了也不掉色，价格实惠买值了。"
"","","码数上边都扯掉了，难怪衣服松垮垮的"
"","","穿着感觉不错，很舒服，很舒适。但是打开袋子就是这样开着一半的，是怕我拉不动吗?"
"","","薄款，没有黑色的好看。"
"","","不错啊，挺厚的而且大小合适不错的一次购物！"
"","","买了一件厚的，穿着看起来不错。"
"","","这衣服太凑活事了吧，就两块布缝在一起。还还没缝好。穿着很难受！！！"
"","1.0","快件已经收到几天了我最近太忙了都没有时间看淘宝这款衣服质量很好质量保证质量摸着舒服料软软的很光滑不给五星好评都不对不起这款上衣了老公说合身特特喜欢这款衣服全五星好评 🌟🌟🌟🌟🌟真喜欢👍👍滴"
"","","衣服尺码正好，穿起来好看，没有弹性的，不用担心变大，就是衣服上都没有吊牌，不知道是不是别人退货的"
"","","衣服质量差到可以。质量差没事毕竟钱在这里摆着 自己躺便宜没办法。 洗了以后居然铁锈斑迹出来 还没穿的。找客服全是废话忽悠"
"","","和预想的一样，加绒加厚，适合春秋冬穿，😊  真真的物美价廉，值得购买👍"
"","1.0","笨手笨脚想买什么看什么尺码开说你呢小姐姐小魔仙卡卡西没撒没撒是吗没打空心菜那么辛苦学生卡你撒没打开才开门带你飞肯定你那麻烦穿开你参加打开吗都没买仓库肯定没错么么哒我莫法嘛嘛嘛门面房每次看看到你洁厕剂代理费开了车开饭了出来啦吃啦到啦老大免费开放聊了聊分分离离到啦快下课开心开心快开学"
"","","收到之后先用水冲了一下，一个面料超级速干冬天的北京一晚上就干了！穿起来挺好看的，价钱也可以，准备再买一个&hellip;"
"","","质量挺好，款式简单，大方，手感柔软，尺码合适，穿着很贴身， 没有明显的色差 ,尺码标准,是诚信好卖家"
"","","我真的不喜欢别人叫我去评论和发好评，发信息打电话打扰我，希望你们以后不要再来打扰我。 那个羊图片和衣服的也不符合！ 不要来打扰我了，谢谢配合！"
"","","衣服不错，是修身的，买小一码可能更好， 加绒的要比薄款的手感好很多"
"","","衣服收到了，比想象中的还厚一点，挺好的。很满意。就是这坨红的不太喜欢"
"","","超级厚很暖质量很好超级喜欢哈哈哈(ಡ&omega;ಡ)hiahiahia推荐一下((٩(//̀Д/́/)۶))"
"","","十几块钱的东西我没想到质量手感那么好完全可以和店里卖的五六十块的比较了"
"","","物流很快，衣服可以，就是小了一个号，我1.65米买的，只能给我老婆穿了，下次我买1.75米的应该就差不多了，建议其他伙伴买的时候以自己身高多加10公分"
"","","价格便宜，款式好看，质量一般，里面有层薄绒，一脱衣服就会噼啪响的那种，一股很重的化学味，扔洗衣机里了，在厂里上班就是耐脏。发货快！"
"","","说实话，这衣服的布料真不是我想要的，也不想评论的！穿一次我就痒的几天，"
"","","衣服很暖，尺寸也合适，很满意。"
"","","两件都不错，线头长。胶味重，其他都还好"
"","","衣服很好，申通快递更给力，从南通发货到苏州用了4天，我查了一下原来是申通免费带我的快递去重庆两日游了😃😃😃"
"","","绒太次了，都不是绒，像是丝棉铺在上面，表面的面料也不好"
"","","质量太差，刚收到就开线了，没有吹的好"
"","","水洗过不变形，尺码偏小，料子一般，毕竟价格摆在这里，一分钱一分货，整体还可以接受。"
"","","很棒，衣服布料非常舒服，特别好。冬天拿来穿里面，在穿个毛衣。特别暖和。"
"","","很好看，很精致。毛茸茸的，当睡衣穿刚好。"
"","","双十一买的，很划算，物流时效很快早就收到了，一直没空评论，挺好的，还送了小礼物❤"
"","","这衣服适合胖子穿吗，太肥了，不合适，但是袖子的长断还可以"
"1.0","","【因为本仙女很懒，不想每个产品都写好评，所以特地模仿好友写下这个模板，但是这个产品无论是质量还是外形都是本仙女喜欢的类型，如果不喜欢，仙女收到东西会很生气，然后这个模板就会成为仙女喋喋不休的休书，自然不可能撒下这个好评，给各位淘友一个参考，本产品还是极好的。 &mdash;&mdash;来自一位慵懒的只爱购物不爱写评语却想换积分的仙女！ 好吧，说真的，很好，喜欢。】"
"","1.0","金陵科技经济学原理www我现在在YY图ribbon极速我打去问问玛丽苏文一路同行我记驱魔精馏塔我们9句秘籍困了虚情假意无双乱舞三楼唐老鸭无条件转移最gin6打AV无双乱舞是哦问题i物体i一起去玩去贻人口实勤务红球学院鱿鱼丝"
"","","加绒加厚？根本就没有加绒，加厚，号码偏差太大，实物跟发布的商品信息不一样！"
"","","货物收到漂亮喜欢，这个价钱太划算了。"
"","","洗过了  不掉色  不起毛毛球，好评"
"","","衣服非常好，布料柔软顺滑做工精细，穿着很舒服，价格也便宜值得购买！"
"","1.0","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 吾得一元，购糖，拐幼童，得六万；遂二干，寻风尘女子，事毕，迷之，取其肾。凑足数，购得弹药，盗于银行，得伍佰万有余。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 钱已有，以不愁身后之事。自觉坏事做绝，需改过，于午时遇一跌倒老者，遂扶之，剩、八角。"
"","","什么烂货，简直就是一块烂布，商家的服务态度差的离谱，衣服领口极度不规则，胸前绣花做工粗糙色调暗淡无光，两条袖摆花型和色彩混为一堆恶心至极。淘宝有这样的店铺和商品真是愧对消费者"
"","","很普通，就是看便宜买来工作的，果然便宜就是有问题&hellip;&hellip;"
"","","衣服很合适，老公穿起来很合身，他很喜欢，说这件好看，又便宜。真心不错，值得购买，面料也不错，这么便宜的价格买这件衣服，太划算了，喜欢的赶紧去买。很赞，好评！"
"","","第一次买东西，有点小问题，看上去像油一样，难道被穿过，给一般吧！希望注意细节。"
"","","质量可以，这个价位可以秒杀50元以内的很多衣服。"
"","","好看是好看，就是那印花很容易粘一起，而且也有一些味道"
"","","模特和我另一半长得有点像，就不发真人照片了，衣服上身效果很好，物美价廉"
"","","一般般吧，要是能在厚一点就好了"
"","","穿身上柔软  舒适，保暖 是一觉特别得劲儿的衣服"
"","1.0","衣服挺好的不错👍"
"","","还不错，穿起来很舒服。价格也十分优惠。值得一买"
"","","好看，穿着舒服 对得起这价钱😍😍😍"
"","","挺好的，穿着舒服，颜色好，上身效果不错，质量好，价廉物美，值得购买，，穿起也挺舒服，不起球，手洗机洗都没有影响。做工精细，手感柔软，这个价格买到这么好的衣服，如果喜欢建议购买。好搭衣服，非常满意的一次购物"
"","","料子很柔软，很舒服，花纹也好看，弹性很好，感觉不错。 质量也好，摸起来很软和，想买的老铁们可以下手了， 款式不错，大小也挺合适， 舒适 很暖和 弹性好 不起球 做工细致 包装好很快就收到了很满意！柔软有弹性穿着很舒服！ 颜色跟图片一模一样，想不到这么便宜还那么好，非常满意！"
"","","衣服穿着很舒服 很暖和   就是背上连接处有点硌"
"","","很好看，很漂亮，买了还想买，不起毛很舒服"
"","","收到衣服是这样的；质量也不好；要买的你们看一下"
"","","黑色的两件还可以"
"","","穿着很舒服，码数也很准"
"","","还行，就是衣服很脏，有点薄"
"","","我要的是M啊，给我发XL的👇，穿上不合适啊，实在是懒得退啊"
"","","收到了，不错，老公穿合身，但这面料可能会起球"
"","1.0","这个价位真的很值，太实惠了！"
"","","买了件薄的，黑色的很好看。"
"","1.0","衣服还不错哦哦你怎么这么喜欢的东西我就知道你会这样对我的信任都没有了吗老婆你干嘛呢媳妇的照片发给我一下吧！。！我要出去吗老婆我好想你好想你呀你怎么样？。？。？。？！？我要出去一趟医院的老师你好美女你好美美滴滴司机开车注意安全哦你"
"1.0","1.0","此用户没有填写评论!"
"1.0","","宝宝们！！半，价买滴哟！公?总，号搜：【太实惠】再去买，超级划算！！！！排在最上面的那个才是哦！！收到衣服，就迫不及待的打开看了。第一次在米兔家买衣服，真心好呀，质量款式都好，也很厚实！试穿也好合身哦！很适合我的风格！ 这个颜色真是如描述超柔和的！而且很提肤色哦！这是目前买到的最满意的一件哟！喜欢！喜欢！快点冷起来吧！ 宝贝非常漂亮 和描述的一样 做工精致 款式漂亮 卖家服务非常好 耐心细致 包装非常讲究 不愧是品牌呀 还会在来的 物流也很给力 谢谢了 好评"
"","1.0","一般，掉毛！终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多"
"","","衣服质量不好，刚打开就是这样子了"
"","","衣服面料很好，不起球，不易皱，穿在身上很舒适"
"","","很好  室友穿的合适 十分舒服 快递很快 下次还来这家店铺买衣服 身高175cm 体重50kg L码合适"
"","","&nbsp;衣衣很好，做工精心，版型特修身，是我喜欢的类型，我穿了几天以后才来评价的，不起球不沾毛，和图片上描述的完全一样，大家可以放心购物。&nbsp; &nbsp;宝贝收到质量很好、很时尚、面料也厚实、宝贝大小刚好、实惠、很满意、客服很好、快递很给力、下次还来&nbsp;"
"","","质量还算可以，价格也还行。第一次在这家店买，店家服务很好。穿上也会觉得很时尚。非常满意的一次购物。加厚的很暖和。"
"","","一点责任心也没有，本来就是白衣服，发货之前也不检查一下马马虎虎"
